order_id,order_date,customer_id,product_category,country,customer_segment,payment_method,units_sold,unit_price,discount_pct,is_returned,rating,revenue
ORD00897,2023-01-01 00:00:00.000000000,CUST0225,Books,Canada,Consumer,Credit Card,18,209.93,20,0,4.3,3022.99
ORD00284,2023-01-01 08:44:41.081081081,CUST0198,Clothing,India,Consumer,Bank Transfer,14,392.42,10,0,3.0,4944.49
ORD00367,2023-01-01 08:44:41.081081081,CUST0090,Electronics,Germany,Corporate,Credit Card,11,372.38,0,1,2.9,4096.18
ORD00090,2023-01-01 08:44:41.081081081,CUST0281,Books,Germany,Consumer,Bank Transfer,17,227.12,20,0,2.8,3088.83
ORD00578,2023-01-02 10:58:44.324324324,CUST0012,Clothing,Australia,Consumer,PayPal,19,165.28,10,0,3.2,2826.29
ORD00179,2023-01-02 10:58:44.324324324,CUST0006,Sports,USA,Consumer,Bank Transfer,17,495.4,0,0,3.4,8421.8
ORD00957,2023-01-03 13:12:47.567567567,CUST0213,Clothing,Australia,Corporate,Credit Card,2,195.38,5,0,3.8,371.22
ORD00834,2023-01-03 21:57:28.648648648,CUST0162,Beauty,India,Consumer,PayPal,7,248.66,0,0,5.0,1740.62
ORD00375,2023-01-03 21:57:28.648648648,CUST0182,Beauty,Australia,Consumer,Bank Transfer,13,232.43,0,0,3.8,3021.59
ORD00995,2023-01-04 06:42:09.729729729,CUST0041,Home & Kitchen,Canada,Consumer,Credit Card,8,233.59,0,1,4.9,1868.72
ORD00716,2023-01-05 00:11:31.891891891,CUST0226,Books,India,Consumer,Credit Card,12,55.81,10,0,2.8,602.75
ORD00947,2023-01-05 00:11:31.891891891,CUST0211,Sports,Canada,Consumer,Credit Card,17,318.31,5,0,3.7,5140.71
ORD00068,2023-01-05 17:40:54.054054054,CUST0081,Sports,USA,Corporate,PayPal,2,359.66,10,0,2.7,647.39
ORD00188,2023-01-06 02:25:35.135135135,CUST0070,Electronics,USA,Corporate,Credit Card,19,437.94,5,0,3.3,7904.82
ORD00130,2023-01-06 02:25:35.135135135,CUST0207,Books,Australia,Consumer,Bank Transfer,12,45.8,0,0,5.0,549.6
ORD00684,2023-01-06 11:10:16.216216216,CUST0047,Clothing,India,Consumer,Credit Card,15,216.66,15,1,2.6,2762.42
ORD00464,2023-01-06 19:54:57.297297297,CUST0020,Home & Kitchen,France,Consumer,Credit Card,13,268.5,0,0,3.3,3490.5
ORD00495,2023-01-07 04:39:38.378378378,CUST0109,Books,Canada,Consumer,Credit Card,18,58.28,0,0,3.0,1049.04
ORD00784,2023-01-07 13:24:19.459459459,CUST0196,Sports,Germany,Consumer,Credit Card,13,314.53,0,1,3.0,4088.89
ORD00538,2023-01-07 22:09:00.540540540,CUST0232,Home & Kitchen,Canada,Consumer,Credit Card,10,52.35,5,0,4.4,497.32
ORD00007,2023-01-08 06:53:41.621621621,CUST0177,Books,UK,Consumer,Crypto,18,103.28,0,0,3.8,1859.04
ORD00061,2023-01-08 06:53:41.621621621,CUST0286,Beauty,Germany,Consumer,Bank Transfer,7,135.27,0,0,3.2,946.89
ORD00034,2023-01-08 15:38:22.702702702,CUST0288,Electronics,USA,Consumer,PayPal,11,52.2,15,0,3.3,488.07
ORD00436,2023-01-08 15:38:22.702702702,CUST0092,Beauty,Canada,Corporate,Bank Transfer,16,433.84,0,0,2.9,6941.44
ORD00667,2023-01-09 00:23:03.783783783,CUST0199,Electronics,UK,Consumer,Credit Card,5,167.62,5,0,3.4,796.2
ORD00807,2023-01-09 17:52:25.945945946,CUST0058,Sports,UK,Consumer,PayPal,11,480.19,15,0,4.8,4489.78
ORD00446,2023-01-10 11:21:48.108108108,CUST0223,Home & Kitchen,Canada,Consumer,Credit Card,9,226.5,10,0,3.1,1834.65
ORD00224,2023-01-10 20:06:29.189189189,CUST0142,Clothing,USA,Consumer,Credit Card,6,269.46,0,0,4.3,1616.76
ORD00153,2023-01-10 20:06:29.189189189,CUST0202,Books,USA,Consumer,Credit Card,8,256.81,0,0,4.5,2054.48
ORD00852,2023-01-11 04:51:10.270270270,CUST0199,Electronics,Germany,Corporate,Credit Card,3,253.8,0,0,4.4,761.4
ORD00429,2023-01-12 15:49:54.594594594,CUST0054,Electronics,UK,Consumer,Credit Card,16,141.15,0,0,3.4,2258.4
ORD00159,2023-01-12 15:49:54.594594594,CUST0025,Electronics,India,Corporate,Credit Card,6,112.57,0,0,2.7,675.42
ORD00083,2023-01-13 09:19:16.756756756,CUST0111,Electronics,India,Corporate,Crypto,17,365.02,0,0,4.9,6205.34
ORD00723,2023-01-13 09:19:16.756756756,CUST0176,Electronics,Australia,Corporate,PayPal,3,253.98,0,0,4.7,761.94
ORD00209,2023-01-13 18:03:57.837837837,CUST0194,Clothing,USA,Consumer,PayPal,10,223.66,5,0,4.9,2124.77
ORD00536,2023-01-13 18:03:57.837837837,CUST0187,Books,India,Consumer,Bank Transfer,14,283.35,10,0,2.8,3570.21
ORD00373,2023-01-14 02:48:38.918918919,CUST0251,Electronics,USA,Consumer,PayPal,5,103.61,5,0,3.4,492.15
ORD00475,2023-01-14 02:48:38.918918919,CUST0120,Sports,USA,Corporate,PayPal,15,397.15,0,0,4.9,5957.25
ORD00765,2023-01-14 02:48:38.918918919,CUST0012,Clothing,USA,Home Office,Credit Card,8,105.11,0,0,3.4,840.88
ORD00439,2023-01-14 11:33:20.000000000,CUST0096,Home & Kitchen,USA,Corporate,Bank Transfer,1,127.28,10,0,3.8,114.55
ORD00881,2023-01-14 20:18:01.081081081,CUST0267,Books,USA,Consumer,Credit Card,10,419.42,0,0,4.0,4194.2
ORD00522,2023-01-14 20:18:01.081081081,CUST0046,Electronics,Canada,Consumer,Credit Card,19,11.87,0,0,2.5,225.53
ORD00816,2023-01-14 20:18:01.081081081,CUST0157,Clothing,Germany,Consumer,PayPal,7,149.29,10,0,5.0,940.53
ORD00969,2023-01-15 13:47:23.243243243,CUST0250,Home & Kitchen,USA,Corporate,Credit Card,18,121.76,0,0,4.1,2191.68
ORD00152,2023-01-15 13:47:23.243243243,CUST0028,Home & Kitchen,Canada,Corporate,Credit Card,3,90.48,5,0,4.5,257.87
ORD00128,2023-01-15 13:47:23.243243243,CUST0253,Home & Kitchen,UK,Consumer,Credit Card,3,414.0,5,0,4.4,1179.9
ORD00819,2023-01-15 22:32:04.324324324,CUST0130,Home & Kitchen,USA,Consumer,Credit Card,9,228.4,10,0,4.1,1850.04
ORD00712,2023-01-16 07:16:45.405405405,CUST0009,Beauty,France,Consumer,Credit Card,8,328.08,15,0,5.0,2230.94
ORD00469,2023-01-17 09:30:48.648648648,CUST0226,Sports,Germany,Corporate,PayPal,4,350.11,0,0,3.9,1400.44
ORD00650,2023-01-17 18:15:29.729729729,CUST0142,Home & Kitchen,India,Consumer,Credit Card,3,158.64,20,0,2.5,380.74
ORD00586,2023-01-17 18:15:29.729729729,CUST0200,Home & Kitchen,India,Corporate,Credit Card,19,64.16,0,0,3.0,1219.04
ORD00932,2023-01-17 18:15:29.729729729,CUST0012,Sports,India,Home Office,PayPal,18,117.33,20,0,3.8,1689.55
ORD00160,2023-01-18 03:00:10.810810810,CUST0145,Home & Kitchen,Canada,Consumer,Credit Card,9,29.3,0,0,3.1,263.7
ORD00462,2023-01-18 11:44:51.891891892,CUST0195,Clothing,India,Consumer,Crypto,17,134.06,20,0,2.7,1823.22
ORD00555,2023-01-19 05:14:14.054054054,CUST0073,Home & Kitchen,India,Consumer,Credit Card,4,65.28,5,0,4.4,248.06
ORD00575,2023-01-19 22:43:36.216216216,CUST0044,Beauty,Australia,Consumer,Credit Card,11,414.68,5,1,3.1,4333.41
ORD00296,2023-01-19 22:43:36.216216216,CUST0097,Clothing,USA,Consumer,Bank Transfer,16,393.59,20,0,3.8,5037.95
ORD00120,2023-01-19 22:43:36.216216216,CUST0107,Sports,UK,Corporate,Credit Card,17,374.92,0,0,3.0,6373.64
ORD00570,2023-01-20 07:28:17.297297297,CUST0172,Clothing,Australia,Consumer,Bank Transfer,9,438.62,5,0,4.4,3750.2
ORD00384,2023-01-20 07:28:17.297297297,CUST0150,Clothing,UK,Consumer,Credit Card,7,294.97,0,0,3.5,2064.79
ORD00603,2023-01-21 18:27:01.621621621,CUST0007,Clothing,India,Consumer,PayPal,11,431.15,20,0,3.4,3794.12
ORD00889,2023-01-21 18:27:01.621621621,CUST0080,Electronics,India,Corporate,Bank Transfer,4,138.21,15,0,4.3,469.91
ORD00912,2023-01-21 18:27:01.621621621,CUST0009,Clothing,Australia,Consumer,Credit Card,18,146.28,20,0,4.6,2106.43
ORD00615,2023-01-21 18:27:01.621621621,CUST0188,Books,USA,Consumer,Credit Card,6,466.45,0,0,3.5,2798.7
ORD00040,2023-01-22 03:11:42.702702702,CUST0250,Beauty,UK,Consumer,Credit Card,1,279.43,5,0,3.3,265.46
ORD00777,2023-01-23 05:25:45.945945946,CUST0074,Electronics,Australia,Corporate,Credit Card,16,127.56,0,0,3.7,2040.96
ORD00140,2023-01-23 14:10:27.027027027,CUST0187,Beauty,India,Consumer,Credit Card,1,484.52,10,0,4.5,436.07
ORD00132,2023-01-24 07:39:49.189189189,CUST0056,Books,Australia,Consumer,Credit Card,7,490.19,5,0,4.7,3259.76
ORD00804,2023-01-25 18:38:33.513513513,CUST0033,Clothing,USA,Consumer,Bank Transfer,17,376.34,15,0,3.2,5438.11
ORD00649,2023-01-25 18:38:33.513513513,CUST0003,Electronics,India,Corporate,PayPal,2,270.85,0,0,4.2,541.7
ORD00869,2023-01-26 03:23:14.594594594,CUST0205,Home & Kitchen,Australia,Corporate,Credit Card,14,327.56,10,0,2.6,4127.26
ORD00005,2023-01-26 20:52:36.756756756,CUST0224,Home & Kitchen,USA,Consumer,Bank Transfer,15,401.23,20,0,2.7,4814.76
ORD00835,2023-01-27 14:21:58.918918919,CUST0163,Books,USA,Corporate,Credit Card,16,440.33,0,0,4.5,7045.28
ORD00741,2023-01-27 23:06:40.000000000,CUST0059,Sports,USA,Consumer,Credit Card,6,274.97,10,0,4.4,1484.84
ORD00791,2023-01-28 07:51:21.081081081,CUST0022,Books,India,Consumer,Credit Card,9,271.43,10,0,2.6,2198.58
ORD00639,2023-01-28 07:51:21.081081081,CUST0029,Electronics,USA,Consumer,PayPal,18,19.5,5,0,4.7,333.45
ORD00920,2023-01-29 18:50:05.405405405,CUST0084,Clothing,Canada,Corporate,Credit Card,12,371.87,0,0,2.5,4462.44
ORD00085,2023-01-30 03:34:46.486486486,CUST0151,Beauty,India,Consumer,PayPal,13,393.62,0,0,3.2,5117.06
ORD00281,2023-01-30 03:34:46.486486486,CUST0104,Home & Kitchen,UK,Consumer,Credit Card,2,192.19,0,1,3.7,384.38
ORD00215,2023-01-31 23:18:11.891891892,CUST0275,Books,USA,Consumer,Credit Card,16,363.5,0,0,4.6,5816.0
ORD00644,2023-01-31 23:18:11.891891892,CUST0236,Electronics,USA,Corporate,PayPal,15,320.6,0,0,2.9,4809.0
ORD00014,2023-02-01 16:47:34.054054054,CUST0098,Home & Kitchen,USA,Consumer,Credit Card,12,201.21,5,0,4.3,2293.79
ORD00961,2023-02-02 10:16:56.216216216,CUST0004,Books,Australia,Consumer,Bank Transfer,7,495.92,0,0,4.4,3471.44
