customer_id,tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delays,contract_type,internet_service,online_security,tech_support,paperless_billing,gender,senior_citizen,partner,dependents,churn
CUST0000,52,45.47,5290.54,4,1,2,Month-to-month,DSL,No,No,Yes,Female,0,Yes,No,0
CUST0001,15,104.09,7197.25,3,9,3,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,No,No,1
CUST0002,61,23.84,3256.2,4,9,2,Month-to-month,DSL,Yes,Yes,No,Male,0,No,No,1
CUST0003,21,110.18,2681.68,3,6,4,Month-to-month,No,Yes,No,No,Male,0,Yes,No,0
CUST0004,24,66.15,185.41,2,1,4,Month-to-month,DSL,No,Yes,No,Female,0,Yes,No,1
CUST0005,3,83.72,6629.75,3,0,4,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,Yes,1
CUST0006,22,85.94,6427.75,3,6,1,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,No,No,1
CUST0007,53,109.51,925.19,2,4,4,Month-to-month,Fiber optic,Yes,Yes,No,Female,1,No,No,1
CUST0008,2,83.67,4657.17,2,0,4,Two year,No,No,Yes,Yes,Female,0,No,No,0
CUST0009,30,81.39,3765.46,2,3,1,Month-to-month,No,No,Yes,Yes,Male,1,No,No,0
CUST0010,38,26.67,1037.8,4,3,4,One year,Fiber optic,No,Yes,No,Female,0,Yes,Yes,0
CUST0011,2,71.84,7846.49,2,9,3,Month-to-month,DSL,No,No,Yes,Male,0,Yes,Yes,1
CUST0012,64,35.02,1796.1,1,6,4,Two year,Fiber optic,No,Yes,No,Male,0,No,No,0
CUST0013,60,93.74,631.15,2,8,4,Two year,Fiber optic,No,No,No,Female,0,No,No,1
CUST0014,21,71.22,4799.29,2,1,1,One year,Fiber optic,Yes,Yes,Yes,Female,0,No,No,0
CUST0015,33,88.02,5937.05,2,0,3,One year,DSL,Yes,Yes,No,Male,0,No,No,0
CUST0016,58,24.17,356.3,3,1,2,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,1,Yes,Yes,0
CUST0017,22,28.48,5303.87,4,6,0,Two year,DSL,Yes,No,Yes,Female,0,Yes,No,0
CUST0018,49,91.63,4305.11,2,9,3,Two year,Fiber optic,Yes,No,No,Male,1,Yes,No,1
CUST0019,59,27.21,915.79,4,5,2,Two year,Fiber optic,No,No,Yes,Male,0,Yes,No,0
CUST0020,42,27.13,1462.94,1,3,3,One year,No,No,No,No,Male,0,No,No,1
CUST0021,60,21.21,4587.0,1,0,2,Month-to-month,Fiber optic,No,No,Yes,Male,0,Yes,No,0
CUST0022,15,115.65,2441.23,2,0,2,Two year,DSL,Yes,No,Yes,Male,0,No,No,1
CUST0023,62,93.75,7512.69,1,4,3,Month-to-month,No,No,Yes,No,Female,0,Yes,Yes,1
CUST0024,62,55.33,6568.05,4,0,1,One year,Fiber optic,Yes,Yes,Yes,Male,1,Yes,No,0
CUST0025,47,49.65,7870.18,3,6,3,Month-to-month,DSL,No,No,Yes,Male,0,No,No,0
CUST0026,62,54.97,2151.4,2,0,3,Two year,Fiber optic,Yes,No,Yes,Female,0,Yes,No,0
CUST0027,51,97.47,7760.82,1,0,2,Month-to-month,Fiber optic,No,No,No,Female,0,Yes,No,1
CUST0028,55,86.14,3506.75,4,1,0,Month-to-month,No,Yes,No,Yes,Female,0,Yes,No,0
CUST0029,64,38.52,2845.4,4,9,2,One year,Fiber optic,No,No,No,Male,0,Yes,No,0
CUST0030,3,37.41,497.76,1,2,4,One year,Fiber optic,Yes,Yes,Yes,Male,0,No,No,1
CUST0031,51,29.84,516.85,4,0,3,One year,DSL,No,Yes,No,Female,0,Yes,Yes,0
CUST0032,7,86.03,5566.89,4,8,3,Month-to-month,Fiber optic,Yes,Yes,No,Female,0,Yes,Yes,1
CUST0033,21,96.44,3717.64,2,9,1,Month-to-month,No,Yes,Yes,Yes,Female,0,Yes,Yes,1
CUST0034,39,46.5,1889.52,4,7,2,One year,No,Yes,Yes,Yes,Female,0,No,No,0
CUST0035,18,22.09,4950.37,1,4,1,Two year,DSL,Yes,Yes,No,Female,0,No,Yes,0
CUST0036,4,28.22,2097.58,2,1,3,Two year,DSL,No,Yes,No,Male,0,Yes,No,1
CUST0037,60,116.79,4663.29,1,4,2,Month-to-month,DSL,No,Yes,Yes,Female,0,Yes,Yes,1
CUST0038,14,49.54,2937.75,3,5,2,Two year,Fiber optic,No,No,No,Male,1,Yes,No,0
CUST0039,9,96.92,6606.06,1,0,4,Month-to-month,Fiber optic,Yes,No,No,Male,1,No,No,1
CUST0040,53,82.47,6583.5,1,3,4,Month-to-month,Fiber optic,No,Yes,No,Female,0,Yes,No,1
CUST0041,2,58.19,3871.07,2,8,0,Month-to-month,Fiber optic,Yes,Yes,No,Female,1,Yes,Yes,0
CUST0042,60,40.57,2871.47,4,1,4,Month-to-month,No,No,Yes,Yes,Female,0,No,Yes,0
CUST0043,71,32.14,2964.22,1,4,2,One year,Fiber optic,Yes,No,No,Female,0,No,No,1
CUST0044,44,81.5,6465.14,2,0,4,Month-to-month,DSL,No,No,Yes,Female,0,No,No,0
CUST0045,8,97.46,2692.62,3,3,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,1,Yes,No,1
CUST0046,47,84.39,1751.57,2,3,3,Month-to-month,No,Yes,No,Yes,Female,0,Yes,No,0
CUST0047,35,73.03,769.04,2,5,4,Month-to-month,Fiber optic,No,Yes,Yes,Female,1,Yes,No,0
CUST0048,36,24.2,3786.88,4,9,2,One year,Fiber optic,No,Yes,Yes,Male,1,No,Yes,0
CUST0049,50,116.85,3908.84,1,8,3,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,Yes,No,1
CUST0050,4,99.87,6743.18,3,2,2,Month-to-month,No,Yes,Yes,Yes,Female,0,Yes,No,1
CUST0051,2,49.28,1847.79,2,8,3,One year,Fiber optic,Yes,Yes,No,Female,0,No,Yes,0
CUST0052,6,118.0,3109.83,1,5,2,One year,DSL,Yes,No,Yes,Male,0,No,No,1
CUST0053,54,80.19,6486.41,1,6,4,One year,No,No,Yes,Yes,Female,0,Yes,No,1
CUST0054,4,78.24,6606.63,2,9,4,Month-to-month,No,Yes,Yes,Yes,Female,0,No,No,0
CUST0055,54,94.81,3138.43,1,1,0,Two year,DSL,No,Yes,Yes,Female,0,Yes,Yes,0
CUST0056,63,101.18,3727.08,2,9,3,Two year,Fiber optic,Yes,Yes,Yes,Female,0,Yes,No,0
CUST0057,18,85.65,2495.96,2,5,0,Two year,Fiber optic,No,No,Yes,Male,0,Yes,No,1
CUST0058,44,32.81,7467.18,2,5,1,One year,DSL,Yes,Yes,No,Female,0,No,Yes,0
CUST0059,34,53.83,1037.29,3,1,4,Month-to-month,No,Yes,Yes,No,Male,0,Yes,Yes,1
CUST0060,62,112.81,7476.62,2,1,3,Two year,Fiber optic,No,No,No,Female,0,No,No,0
CUST0061,14,42.46,5502.54,4,1,0,Month-to-month,No,Yes,Yes,Yes,Female,0,No,No,1
CUST0062,48,57.22,4299.42,1,9,0,Month-to-month,DSL,Yes,Yes,Yes,Female,1,No,No,1
CUST0063,15,63.21,358.01,3,0,1,Month-to-month,Fiber optic,No,Yes,Yes,Male,0,No,No,1
CUST0064,62,63.94,3857.21,1,4,0,Month-to-month,DSL,Yes,Yes,No,Female,0,Yes,No,0
CUST0065,40,81.29,3321.21,3,7,2,Two year,Fiber optic,No,No,Yes,Female,1,No,No,1
CUST0066,53,114.31,1373.63,4,1,4,One year,Fiber optic,No,Yes,Yes,Male,0,Yes,No,0
