customer_id,name,segment,country,signup_year,lifetime_value
CUST0001,Customer 1,Corporate,UK,2023,2392.8
CUST0002,Customer 2,Consumer,USA,2021,381.99
CUST0003,Customer 3,Corporate,USA,2019,963.45
CUST0004,Customer 4,Corporate,USA,2021,3172.09
CUST0005,Customer 5,Consumer,USA,2021,447.42
CUST0006,Customer 6,Consumer,Germany,2018,272.17
CUST0007,Customer 7,Consumer,Canada,2021,3148.47
CUST0008,Customer 8,Corporate,UK,2023,584.05
CUST0009,Customer 9,Consumer,USA,2020,3886.78
CUST0010,Customer 10,Consumer,USA,2022,932.24
CUST0011,Customer 11,Corporate,USA,2018,502.4
CUST0012,Customer 12,Home Office,Canada,2018,295.48
CUST0013,Customer 13,Consumer,Canada,2019,848.82
CUST0014,Customer 14,Consumer,USA,2022,1095.96
CUST0015,Customer 15,Corporate,Canada,2023,1402.64
CUST0016,Customer 16,Corporate,Australia,2019,52.28
CUST0017,Customer 17,Corporate,UK,2019,15.11
CUST0018,Customer 18,Consumer,USA,2020,862.42
CUST0019,Customer 19,Home Office,Canada,2020,3666.23
CUST0020,Customer 20,Corporate,Germany,2022,502.76
CUST0021,Customer 21,Corporate,USA,2023,934.49
CUST0022,Customer 22,Consumer,USA,2021,242.47
CUST0023,Customer 23,Consumer,Canada,2019,1386.27
CUST0024,Customer 24,Corporate,Canada,2023,1056.25
CUST0025,Customer 25,Consumer,USA,2021,710.14
CUST0026,Customer 26,Consumer,Canada,2019,271.42
CUST0027,Customer 27,Corporate,Germany,2022,1204.49
CUST0028,Customer 28,Consumer,Germany,2020,2552.87
CUST0029,Customer 29,Corporate,Germany,2023,456.46
CUST0030,Customer 30,Corporate,India,2020,384.86
CUST0031,Customer 31,Corporate,USA,2021,3952.44
CUST0032,Customer 32,Corporate,USA,2019,83.51
CUST0033,Customer 33,Home Office,India,2019,29.68
CUST0034,Customer 34,Consumer,USA,2022,222.19
CUST0035,Customer 35,Consumer,India,2020,471.21
CUST0036,Customer 36,Consumer,USA,2023,735.61
CUST0037,Customer 37,Consumer,USA,2022,228.14
CUST0038,Customer 38,Corporate,Germany,2022,492.69
CUST0039,Customer 39,Consumer,USA,2021,1154.5
CUST0040,Customer 40,Corporate,USA,2019,828.95
CUST0041,Customer 41,Corporate,Australia,2021,437.65
CUST0042,Customer 42,Corporate,USA,2020,1096.52
CUST0043,Customer 43,Consumer,USA,2018,51.24
CUST0044,Customer 44,Home Office,USA,2020,1003.37
CUST0045,Customer 45,Consumer,UK,2021,755.16
CUST0046,Customer 46,Corporate,USA,2021,372.81
CUST0047,Customer 47,Consumer,Germany,2023,399.52
CUST0048,Customer 48,Home Office,India,2019,1118.24
CUST0049,Customer 49,Consumer,USA,2019,371.05
CUST0050,Customer 50,Consumer,USA,2020,353.76
CUST0051,Customer 51,Consumer,USA,2023,50.98
CUST0052,Customer 52,Consumer,Canada,2023,34.45
CUST0053,Customer 53,Corporate,Australia,2019,1043.34
CUST0054,Customer 54,Consumer,Germany,2019,594.4
CUST0055,Customer 55,Consumer,USA,2023,139.2
CUST0056,Customer 56,Home Office,Australia,2019,116.94
CUST0057,Customer 57,Home Office,India,2022,1164.21
