order_id,customer_id,product_id,order_date,quantity,unit_price,discount,status,channel,region,revenue
ORD000000,CUST0103,PROD0021,2022-01-01 00:00:00.000000000,1,118.53,0.0,Completed,Web,South,118.53
ORD000001,CUST0436,PROD0147,2022-01-01 03:29:59.639927985,1,27.05,0.0,Completed,Web,South,27.05
ORD000002,CUST0349,PROD0053,2022-01-01 06:59:59.279855971,4,210.53,0.1,Completed,Mobile,North,757.91
ORD000003,CUST0271,PROD0019,2022-01-01 10:29:58.919783956,4,151.7,0.1,Completed,In-Store,North,546.12
ORD000004,CUST0107,PROD0057,2022-01-01 13:59:58.559711942,2,406.4,0.15,Completed,Web,West,690.88
ORD000005,CUST0072,PROD0025,2022-01-01 17:29:58.199639927,9,402.18,0.1,Completed,In-Store,West,3257.66
ORD000006,CUST0189,PROD0031,2022-01-01 20:59:57.839567913,14,233.94,0.05,Completed,Mobile,South,3111.4
ORD000007,CUST0021,PROD0081,2022-01-02 00:29:57.479495899,9,307.19,0.1,Completed,Web,West,2488.24
ORD000008,CUST0103,PROD0183,2022-01-02 03:59:57.119423884,13,306.09,0.1,Completed,Web,North,3581.25
ORD000009,CUST0122,PROD0023,2022-01-02 07:29:56.759351870,13,415.31,0.05,Completed,Web,East,5129.08
ORD000010,CUST0467,PROD0032,2022-01-02 10:59:56.399279855,2,218.25,0.05,Completed,Web,International,414.67
ORD000011,CUST0215,PROD0190,2022-01-02 14:29:56.039207841,14,144.97,0.1,Completed,Web,West,1826.62
ORD000012,CUST0331,PROD0074,2022-01-02 17:59:55.679135827,9,139.87,0.05,Completed,Web,South,1195.89
ORD000013,CUST0459,PROD0010,2022-01-02 21:29:55.319063812,6,272.73,0.1,Completed,In-Store,West,1472.74
ORD000014,CUST0088,PROD0054,2022-01-03 00:59:54.958991798,8,230.08,0.1,Completed,Mobile,South,1656.58
ORD000015,CUST0373,PROD0052,2022-01-03 04:29:54.598919783,10,225.66,0.1,Completed,Mobile,West,2030.94
ORD000016,CUST0100,PROD0148,2022-01-03 07:59:54.238847769,13,54.66,0.1,Completed,Web,East,639.52
ORD000017,CUST0360,PROD0160,2022-01-03 11:29:53.878775755,13,362.12,0.05,Completed,Web,West,4472.18
ORD000018,CUST0152,PROD0114,2022-01-03 14:59:53.518703740,4,114.73,0.1,Completed,Web,North,413.03
ORD000019,CUST0131,PROD0014,2022-01-03 18:29:53.158631726,2,106.51,0.05,Completed,In-Store,East,202.37
ORD000020,CUST0150,PROD0178,2022-01-03 21:59:52.798559711,2,212.25,0.0,Completed,Web,East,424.5
