product_id,product_name,category,cost_price,list_price,supplier
PROD0001,Product 1,Home & Kitchen,194.63,113.13,SupplierA
PROD0002,Product 2,Sports,82.5,496.59,SupplierC
PROD0003,Product 3,Sports,103.19,318.43,SupplierC
PROD0004,Product 4,Sports,98.61,287.84,SupplierC
PROD0005,Product 5,Electronics,143.43,274.91,SupplierB
PROD0006,Product 6,Books,8.44,430.08,SupplierC
PROD0007,Product 7,Clothing,17.4,271.56,SupplierB
PROD0008,Product 8,Home & Kitchen,27.81,336.22,SupplierB
PROD0009,Product 9,Home & Kitchen,167.02,402.85,SupplierA
PROD0010,Product 10,Electronics,64.72,476.41,SupplierD
PROD0011,Product 11,Electronics,124.59,28.58,SupplierA
PROD0012,Product 12,Books,112.94,142.04,SupplierA
PROD0013,Product 13,Books,158.49,385.32,SupplierC
PROD0014,Product 14,Sports,165.81,293.07,SupplierA
PROD0015,Product 15,Books,164.75,191.05,SupplierD
PROD0016,Product 16,Electronics,16.01,343.98,SupplierB
PROD0017,Product 17,Electronics,178.62,312.3,SupplierC
PROD0018,Product 18,Books,190.6,166.97,SupplierD
PROD0019,Product 19,Electronics,48.12,365.79,SupplierA
PROD0020,Product 20,Electronics,156.12,119.63,SupplierC
PROD0021,Product 21,Sports,85.96,431.39,SupplierA
PROD0022,Product 22,Beauty,95.42,23.69,SupplierD
PROD0023,Product 23,Home & Kitchen,137.87,314.08,SupplierC
PROD0024,Product 24,Electronics,186.89,329.65,SupplierB
PROD0025,Product 25,Books,172.23,333.01,SupplierD
PROD0026,Product 26,Clothing,191.85,402.51,SupplierC
PROD0027,Product 27,Home & Kitchen,128.55,175.15,SupplierC
PROD0028,Product 28,Sports,17.99,14.61,SupplierC
PROD0029,Product 29,Clothing,174.92,427.28,SupplierC
PROD0030,Product 30,Clothing,75.37,400.55,SupplierD
PROD0031,Product 31,Home & Kitchen,129.7,261.15,SupplierD
PROD0032,Product 32,Home & Kitchen,181.94,436.79,SupplierB
PROD0033,Product 33,Electronics,103.87,208.5,SupplierA
PROD0034,Product 34,Electronics,172.55,423.66,SupplierA
PROD0035,Product 35,Books,199.38,365.63,SupplierD
PROD0036,Product 36,Clothing,199.7,318.49,SupplierC
PROD0037,Product 37,Clothing,62.8,491.39,SupplierD
PROD0038,Product 38,Home & Kitchen,54.33,490.62,SupplierC
PROD0039,Product 39,Electronics,47.47,434.84,SupplierC
PROD0040,Product 40,Clothing,95.98,187.47,SupplierB
PROD0041,Product 41,Home & Kitchen,175.95,18.1,SupplierD
PROD0042,Product 42,Home & Kitchen,90.51,441.52,SupplierC
PROD0043,Product 43,Clothing,47.07,30.14,SupplierB
PROD0044,Product 44,Clothing,101.21,180.24,SupplierA
PROD0045,Product 45,Electronics,185.38,145.07,SupplierC
PROD0046,Product 46,Home & Kitchen,27.02,499.84,SupplierB
PROD0047,Product 47,Electronics,80.37,120.71,SupplierD
PROD0048,Product 48,Home & Kitchen,82.76,146.95,SupplierA
PROD0049,Product 49,Sports,65.05,184.18,SupplierB
PROD0050,Product 50,Electronics,15.72,49.8,SupplierA
PROD0051,Product 51,Books,46.25,280.02,SupplierB
PROD0052,Product 52,Clothing,187.71,44.33,SupplierC
PROD0053,Product 53,Books,51.86,310.16,SupplierA
PROD0054,Product 54,Sports,7.9,43.58,SupplierC
PROD0055,Product 55,Books,88.09,433.54,SupplierD
PROD0056,Product 56,Home & Kitchen,126.17,479.29,SupplierC
PROD0057,Product 57,Home & Kitchen,75.41,196.61,SupplierD
PROD0058,Product 58,Home & Kitchen,192.0,306.3,SupplierC
PROD0059,Product 59,Clothing,34.63,207.42,SupplierA
PROD0060,Product 60,Home & Kitchen,190.53,407.13,SupplierA
PROD0061,Product 61,Home & Kitchen,98.32,58.61,SupplierB
PROD0062,Product 62,Electronics,162.45,482.87,SupplierA
PROD0063,Product 63,Books,128.42,436.15,SupplierB
PROD0064,Product 64,Home & Kitchen,39.97,271.12,SupplierA
PROD0065,Product 65,Books,12.25,323.73,SupplierA
PROD0066,Product 66,Clothing,189.59,404.5,SupplierD
PROD0067,Product 67,Clothing,178.58,249.76,SupplierC
PROD0068,Product 68,Clothing,147.55,160.47,SupplierC
PROD0069,Product 69,Home & Kitchen,94.46,97.91,SupplierB
PROD0070,Product 70,Electronics,86.9,369.65,SupplierD
PROD0071,Product 71,Home & Kitchen,168.65,350.34,SupplierB
PROD0072,Product 72,Beauty,99.34,268.21,SupplierC
PROD0073,Product 73,Sports,83.48,461.67,SupplierC
PROD0074,Product 74,Sports,79.17,142.84,SupplierA
PROD0075,Product 75,Clothing,189.56,155.1,SupplierC
PROD0076,Product 76,Books,132.31,156.11,SupplierD
PROD0077,Product 77,Home & Kitchen,38.02,181.21,SupplierA
PROD0078,Product 78,Home & Kitchen,149.15,351.33,SupplierC
PROD0079,Product 79,Electronics,79.14,74.48,SupplierA
PROD0080,Product 80,Home & Kitchen,162.32,325.55,SupplierC
PROD0081,Product 81,Electronics,77.66,352.06,SupplierB
PROD0082,Product 82,Books,45.34,15.29,SupplierB
PROD0083,Product 83,Clothing,100.66,117.29,SupplierB
PROD0084,Product 84,Electronics,42.5,22.76,SupplierB
PROD0085,Product 85,Clothing,40.93,148.97,SupplierC
PROD0086,Product 86,Electronics,63.65,68.4,SupplierC
