tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delays,contract_type,internet_service,online_security,tech_support,paperless_billing,gender,senior_citizen,partner,dependents,churn
52,85.74,5063.94,1,8,0,Two year,DSL,No,No,Yes,Male,0,Yes,No,0
15,67.23,1554.4,2,2,3,Month-to-month,DSL,No,Yes,No,Male,0,No,No,1
61,108.02,934.64,3,3,4,Two year,DSL,Yes,Yes,Yes,Male,0,Yes,No,1
21,41.57,6521.52,3,6,0,One year,DSL,No,Yes,Yes,Male,0,Yes,Yes,1
24,87.78,4672.18,2,1,4,One year,Fiber optic,Yes,Yes,No,Female,1,No,No,0
3,80.78,4984.45,3,2,1,Month-to-month,Fiber optic,Yes,No,No,Female,0,No,No,1
22,49.53,6273.55,3,5,2,Two year,Fiber optic,Yes,Yes,No,Female,0,No,Yes,0
53,33.66,5655.89,1,7,4,One year,DSL,No,Yes,Yes,Male,1,Yes,No,0
2,85.16,6692.22,4,0,3,Two year,Fiber optic,Yes,No,Yes,Male,0,No,Yes,0
30,93.86,544.09,3,3,4,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,Yes,No,1
38,51.56,6005.41,4,0,4,Month-to-month,DSL,No,Yes,Yes,Female,0,No,No,1
2,84.48,6821.74,2,1,4,Month-to-month,DSL,No,Yes,No,Female,0,No,No,0
64,59.51,2360.47,2,7,4,Month-to-month,DSL,No,Yes,No,Male,0,No,No,0
60,91.32,5159.53,3,5,3,Month-to-month,Fiber optic,No,Yes,Yes,Female,0,Yes,No,1
21,39.92,2581.88,2,8,3,Month-to-month,DSL,No,No,Yes,Male,0,No,Yes,0
33,109.02,7667.97,1,1,4,Month-to-month,Fiber optic,No,No,Yes,Female,1,Yes,No,1
58,48.74,364.05,3,2,2,Two year,DSL,No,No,Yes,Female,0,No,No,0
22,56.78,4680.36,3,8,4,Month-to-month,DSL,Yes,No,Yes,Male,0,No,Yes,0
49,25.81,1415.38,3,8,3,Month-to-month,DSL,Yes,Yes,No,Male,0,Yes,No,1
59,31.15,5726.54,2,5,1,Two year,DSL,No,Yes,No,Male,0,Yes,No,0
42,71.59,1489.53,2,2,4,One year,DSL,No,Yes,No,Female,0,Yes,Yes,0
60,46.76,1959.53,3,4,4,One year,Fiber optic,Yes,Yes,Yes,Male,0,No,Yes,0
15,103.55,4005.53,4,1,4,Month-to-month,Fiber optic,Yes,Yes,Yes,Female,0,No,No,1
62,21.47,7327.2,2,6,4,Month-to-month,Fiber optic,Yes,Yes,No,Male,0,Yes,No,1
62,57.91,1772.54,2,9,0,Month-to-month,Fiber optic,Yes,No,Yes,Female,0,No,Yes,1
47,53.73,1239.5,3,7,4,Month-to-month,Fiber optic,Yes,Yes,Yes,Male,0,Yes,No,1
62,21.93,6095.92,4,5,3,Two year,Fiber optic,Yes,Yes,Yes,Male,1,Yes,No,0
51,32.44,4054.89,3,7,3,One year,No,No,No,No,Female,0,No,No,1
55,61.36,7303.1,2,1,0,Month-to-month,DSL,Yes,No,No,Male,1,Yes,Yes,0
64,69.29,1258.26,3,2,4,One year,DSL,Yes,Yes,No,Female,0,No,No,0
